type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,cluster
0,27,69,3,14,79,23,81,186,52,28,20,2,
0,30,61,4,13,60,15,23,253,50,30,18,3,
0,32,48,16,17,57,3,10,288,46,35,8,3,
0,24,91,2,24,60,14,33,288,61,26,9,2,
0,20,74,11,38,83,14,108,272,45,35,11,2,
0,20,58,10,11,59,14,39,209,53,53,11,2,
0,61,50,62,19,43,2,7,311,38,41,21,3,
0,20,71,4,11,41,2,2,197,59,34,11,2,
0,37,41,19,28,74,16,45,311,51,44,13,3,
0,29,67,9,14,85,26,91,218,25,23,16,3,
0,60,38,47,31,74,2,13,333,34,27,24,2,
0,32,60,3,13,54,7,26,222,51,31,18,2,
0,58,41,57,42,55,15,51,346,39,52,20,2,
0,28,60,11,30,51,9,41,283,53,31,7,2,
0,54,64,22,27,75,16,38,347,39,38,22,3,
0,35,88,11,26,76,9,20,347,68,46,18,2,
0,42,53,30,28,77,17,80,318,49,37,11,3,
0,30,73,5,22,63,3,10,293,46,37,9,2,
0,32,67,27,32,50,19,96,291,39,28,10,3,
0,58,44,46,14,92,3,6,320,47,49,16,3,
0,29,81,0,23,74,5,11,295,44,47,9,2,
0,64,67,64,24,56,3,28,344,22,30,18,2,
0,43,28,47,14,51,24,36,266,49,70,25,3,
0,35,26,41,17,64,8,19,295,38,54,10,3,
0,47,41,51,17,66,3,18,311,35,25,11,2,
0,65,56,53,26,69,17,50,357,27,35,24,3,
0,23,92,15,16,84,12,61,263,44,38,9,2,
0,29,100,19,17,31,12,47,212,53,18,29,2,
0,64,41,66,22,62,9,16,226,17,39,55,3,
0,67,84,71,37,84,3,34,368,12,42,33,4,
0,20,65,3,13,68,16,26,270,61,37,18,3,
0,59,26,65,25,69,7,17,277,35,35,41,2,
0,66,41,54,26,67,23,54,350,32,56,23,3,
0,55,39,58,20,100,3,10,333,21,71,10,2,
0,41,46,50,26,36,10,19,186,49,63,60,4,
0,54,50,69,69,58,37,60,341,34,59,45,4,
0,56,46,47,19,96,12,39,311,20,55,14,3,
0,34,44,48,22,83,46,114,308,55,69,16,2,
0,64,43,48,27,82,9,33,362,33,35,22,2,
0,45,89,23,19,54,2,12,263,29,33,17,2,
0,47,53,23,27,76,11,35,311,29,48,18,3,
0,42,62,48,29,78,40,92,320,25,35,8,2,
0,53,22,48,23,59,7,20,305,31,35,23,2,
0,62,57,48,20,67,2,7,357,36,17,8,2,
0,42,52,48,26,68,19,59,336,52,31,14,2,
0,29,98,0,26,65,3,6,299,47,26,9,2,
0,27,76,0,23,61,16,21,258,49,34,18,3,
0,51,67,21,16,64,6,24,295,30,29,11,2,
0,28,47,13,30,71,19,34,253,49,31,24,3,
0,50,62,44,22,55,14,31,343,56,36,10,2,
0,68,39,63,80,80,20,56,301,15,58,64,2,
0,24,66,6,12,60,6,19,288,53,44,13,3,
0,49,103,33,17,63,31,132,311,32,27,11,2,
0,37,53,30,21,62,31,45,311,50,28,16,2,
0,38,57,50,17,107,14,48,308,20,73,6,2,
0,22,76,2,19,51,6,15,277,64,41,10,3,
0,39,85,0,32,68,10,25,344,53,19,10,2,
0,28,48,7,27,68,12,38,270,38,33,18,2,
0,25,98,3,19,76,7,11,263,56,21,13,2,
0,17,72,0,16,49,6,10,288,63,39,8,2,
0,28,62,12,24,81,22,52,307,56,35,10,2,
0,40,87,0,13,53,5,11,278,48,27,18,3,
0,47,66,26,22,66,21,125,306,44,29,10,2,
0,42,97,5,23,65,24,78,317,53,27,18,2,
0,23,71,2,24,65,15,69,297,65,34,14,3,
0,4,68,0,13,28,11,68,115,73,65,56,4,
0,57,52,32,24,83,18,29,319,41,45,28,2,
0,19,62,12,17,60,12,27,291,77,38,16,2,
0,54,50,41,11,98,33,38,324,55,60,17,0,
0,55,58,44,26,93,33,54,282,40,46,29,3,
0,32,48,31,24,64,24,104,312,39,72,14,2,
0,27,48,31,27,51,4,17,245,41,18,23,2,
0,25,38,23,17,51,26,38,223,60,28,18,1,
0,36,32,28,31,103,11,18,204,39,52,45,3,
0,52,52,22,16,66,7,10,304,39,39,9,3,
0,26,75,9,23,64,14,25,294,75,43,28,4,
0,51,53,43,29,49,1,0,267,50,36,47,3,
0,36,73,11,14,56,37,36,187,55,62,41,3,
0,28,46,28,16,62,27,52,283,62,33,11,3,
0,52,49,39,26,76,10,40,325,39,38,18,4,
0,34,32,39,20,42,3,2,204,48,42,33,4,
0,18,66,2,19,91,3,8,259,55,43,11,2,
0,52,43,49,23,87,3,5,255,39,39,38,4,
0,25,60,31,19,54,51,55,158,51,56,56,3,
0,17,46,9,17,60,28,37,214,53,22,10,3,
0,43,30,32,18,47,10,19,191,43,58,39,4,
0,29,101,14,19,85,8,24,236,40,22,18,2,
0,22,59,8,19,46,1,1,228,52,28,24,2,
0,33,97,0,43,79,2,6,331,53,27,13,2,
0,41,58,20,20,72,19,30,274,50,57,32,3,
0,8,70,5,23,57,17,17,111,73,29,56,2,
0,32,43,43,16,82,3,7,216,47,38,35,3,
0,24,38,25,14,67,32,59,270,57,32,11,3,
0,24,43,29,14,57,30,55,271,59,33,11,3,
0,22,62,8,17,65,7,8,178,60,33,37,3,
0,13,56,8,13,62,16,22,154,62,28,33,3,
0,31,35,40,11,40,3,26,151,46,45,30,3,
0,15,54,0,9,39,25,25,101,62,22,49,3,
0,26,39,33,14,59,16,29,130,55,61,61,4,
0,21,52,10,23,27,3,4,137,47,39,35,3,
0,35,69,24,20,92,6,29,239,32,27,16,2,
0,37,33,41,22,59,9,11,164,31,45,41,4,
0,48,48,45,19,58,2,8,257,44,48,49,3,
0,53,46,39,24,52,40,42,300,55,60,24,3,
0,24,24,36,24,47,8,32,166,69,54,50,4,
0,38,48,38,14,52,3,4,191,52,43,39,5,
0,20,78,2,19,62,5,7,185,52,36,23,3,
0,33,61,21,20,62,32,71,269,43,20,13,3,
0,28,49,28,19,59,17,52,286,57,38,11,2,
0,42,46,40,17,42,12,31,157,39,34,47,3,
0,23,90,0,14,95,3,6,244,62,32,16,2,
0,49,52,37,24,65,33,52,290,32,32,16,2,
0,11,53,0,16,61,23,35,146,67,27,33,2,
0,31,94,0,17,68,6,14,240,50,42,29,3,
0,11,45,12,23,40,11,20,139,78,41,50,3,
0,43,41,31,19,48,1,7,223,47,54,33,3,
0,32,102,20,16,67,11,32,202,51,21,24,2,
0,43,36,41,14,42,6,10,150,35,29,35,2,
0,36,44,9,13,59,3,17,227,26,17,14,3,
0,28,62,2,13,69,15,23,232,54,25,23,3,
0,28,77,3,16,70,11,44,272,54,20,22,2,
0,61,55,39,9,75,3,20,279,24,39,19,3,
0,39,95,50,13,106,9,52,243,17,73,8,2,
0,32,69,21,19,64,23,87,238,47,23,17,2,
0,23,73,6,7,54,2,4,159,34,22,16,2,
0,28,31,41,17,36,3,16,247,61,56,43,3,
0,34,22,33,53,46,5,14,295,39,65,29,3,
0,22,62,0,19,63,38,43,216,56,58,35,3,
0,11,50,0,12,26,0,3,167,65,59,39,3,
0,21,74,2,16,62,16,22,284,57,49,16,2,
0,18,67,2,17,46,36,41,141,52,50,38,4,
0,20,76,3,22,59,11,23,209,53,32,23,3,
0,28,38,59,26,57,21,35,261,55,53,32,3,
0,24,67,53,19,90,0,1,287,50,31,22,1,
0,14,78,6,12,34,3,10,135,74,28,44,2,
0,25,68,17,23,62,12,47,252,48,28,16,2,
0,16,96,4,20,45,8,9,231,70,39,23,3,
0,13,33,24,22,55,21,45,249,59,67,25,2,
0,24,61,12,17,42,16,14,221,38,42,17,3,
0,19,99,2,16,48,27,29,175,47,30,27,3,
0,15,83,1,37,86,31,42,229,68,40,34,3,
0,24,86,12,17,60,9,12,210,46,28,20,2,
0,25,85,31,20,53,34,86,248,50,25,11,2,
0,13,89,9,26,37,10,19,139,74,24,43,2,
